name,profits,marketValue,revenue,industry
3M,4833,102175,30274,Conglomerates
3i Group,925,6685,485,Investment Services
77 Bank,164.5,1417,853,Regional Banks
AAC Technologies Holdings,493.3,8826,1864,
ABB,1921.4,48059,35529,Conglomerates
AECOM Technology,-36.2,4746,18077,Construction Services
AES,306,7376,14942,Electric Utilities
AGL Energy,-404.5,9524,8326,Electric Utilities
AGL Resources,353,7835,3934,Natural Gas Utilities
AIA Group,2691.3,72696,23652,Life & Health Insurance
ALFA,237.9,9374,16261,Conglomerates
AMP,729.4,13147,10309,Investment Services
ANZ,5866.8,54888,31099,Major Banks
ARM Holdings,521.4,18979,1532,Semiconductors
ASML Holding,1795.9,41325,6972,Semiconductors
AT&T,13244,234177,146801,Telecommunications services
ATOS,450.4,8997,11849,Computer Services
AU Optronics,155.3,2949,11348,Electronics
AVIC Capita,367.9,8087,1323,
AXA Group,5890.6,61857,129808,Diversified Insurance
Aareal Bank,389.2,2121,1448,Thrifts & Mortgage Finance
AbbVie,5117,99361,22859,Pharmaceuticals
Abbott Laboratories,2411,64940,20393,Pharmaceuticals
Abertis,-916.3,15032,4854,Other Transportation
Aboitiz Equity Ventures,388.3,7739,2444,Conglomerates
Abu Dhabi Commercial Bank,1305.6,10979,2783,Regional Banks
Abu Dhabi Islamic Bank,433.5,3760,1572,Regional Banks
Accenture,3676.7,71551,33503,Computer Services
Acciona,229.6,4345,7257,Construction Services
Accor,229.6,10793,6189,Hotels & Motels
Actelion,586.8,17947,2178,Pharmaceuticals
Activision Blizzard,880,25468,4578,Recreational Products
Adani Enterprises,251.1,1358,10566,Trading Companies
Adecco,8.9,11533,24402,Business & Personal Services
Adidas,738.5,25198,18757,Apparel/Accessories
Admiral Group plc,458.3,7583,1375,Property & Casualty Insurance
Adobe Systems,799,47415,5035,Software & Programming
Advance Auto Parts,471.7,11648,9737,Specialty Stores
Advanced Info Service,1142.4,13092,4531,Telecommunications services
Advanced Semiconductor,613.4,8280,8922,Semiconductors
Aegon,687.1,13000,32983,Diversified Insurance
Aena,924.3,20132,3827,Other Transportation
Aeon,49.8,12979,59968,Food Retail
AerCap Holdings,1178.7,8300,5482,Other Transportation
Aeroports de Paris,476.8,11974,3234,Other Transportation
Aetna,2390.2,40248,60368,Managed Health Care
Affiliated Managers Group,516,9600,2493,Investment Services
Aflac,2533,28461,21036,Life & Health Insurance
Ageas,854.1,8768,13382,Diversified Insurance
Agile Property Holdings,250.6,2242,6831,Real Estate
Agilent Technologies,449,13701,4040,Electronics
Agricultural Bank of China,28808.7,152736,131888,Regional Banks
Agrium,972.5,11920,14600,Specialized Chemicals
Ahli United Bank,523.5,4166,1439,Regional Banks
Air Canada,236.8,1849,10840,Airline
Air France-KLM,130.9,2682,28897,Airline
Air Liquide,1947.7,40464,18164,Specialized Chemicals
Air Products & Chemicals,1316.9,31942,9690,Specialized Chemicals
Airgas,347.9,10277,5321,Specialized Chemicals
Airports of Thailand,567.3,16553,1320,Other Transportation
Aisin Seiki,763,11375,26233,Auto & Truck Parts
Ajinomoto,722.9,13566,9734,Food Processing
Akamai Technologies,321.4,9026,2197,Computer Services
Akbank,1230.9,11960,7061,Regional Banks
Akzo Nobel,1168.8,17668,16222,Diversified Chemicals
Al Rajhi Bank,2033.9,25478,4000,Regional Banks
Alaska Air Group,848,9518,5598,Airline
Alcoa,-300,13675,21673,Aluminum
Aldar Properties,704.1,5972,1334,Real Estate
Alexion Pharmaceuticals,144.4,35751,2543,Biotechs
Alfa Laval,455,7012,4711,Other Industrial Equipment
Alfresa Holdings,237.3,4633,21044,Pharmaceuticals
Alibaba,10993.8,200718,14964,Business & Personal Services
Alinma Bank,404.4,5384,873,Regional Banks
All Nippon Airways,497.3,9946,14746,Airline
Allahabad Bank,106.2,543,3577,Regional Banks
Alleghany,560.3,7920,5110,Property & Casualty Insurance
Allergan,3915.2,90539,18276,Pharmaceuticals
Alliance Data Systems,545.3,12218,6515,Business & Personal Services
Alliant Energy,388.4,7847,3254,Electric Utilities
Allianz,7337.7,79725,115424,Diversified Insurance
Allied Irish Banks,1530.3,27460,4080,Regional Banks
Allstate,2171,24685,35586,Diversified Insurance
Ally Financial,1289,8942,10124,
Almarai,497.8,11946,3788,Food Processing
Alpha Bank,-1521.1,3898,3820,Regional Banks
Alphabet,17040,500077,77231,Computer Services
Alps Electric Co,358.9,3334,6461,Electronics
Alrosa,500.4,8346,3663,Diversified Metals & Mining
Alstom,-1171.6,5658,7341,Conglomerates
Altice,-354.4,17052,16135,
Altria Group,5231,118430,18854,Tobacco
Aluminum Corp of China,30.2,8854,19606,Aluminum
AmBank Group,394.2,3564,1851,Regional Banks
AmTrust Financial Services,503.3,4561,4694,
Amadeus IT Holdings,761,19607,4339,Software & Programming
Amazon.com,596,292622,107007,Internet & Catalog Retail
Ambac Financial Group,493.4,761,638,Diversified Insurance
Amcor,661.9,13644,9333,Containers & Packaging
Amdocs,415,8509,3658,Software & Programming
Amerco,445.9,7002,3235,Rental & Leasing
Ameren,630,11295,6098,Electric Utilities
American Airlines Group,7610,22092,40990,
American Capital Agency,215,6174,684,Real Estate
American Electric,1793.8,30810,16552,Electric Utilities
American Equity Investment,219.8,1339,1876,Life & Health Insurance
American Express,5026,63184,34594,Consumer Financial Services
American Financial Group,352,6036,6273,Diversified Insurance
American International Group,2179,63709,58330,Diversified Insurance
American Tower,685.1,44166,4772,Real Estate
American Water Works,475.9,12320,3159,Diversified Utilities
